GENUS	group
Bacillus	Firmicutes
Streptomyces	Actinobacteria
Marmoricola	Actinobacteria
Vulcaniibacterium	Proteobacteria
Microvirga	Proteobacteria
Lysobacter	Proteobacteria
Nocardioides	Actinobacteria
Luteimonas	Proteobacteria
Gemmatimonas	Gemmatimonadetes
Meiothermus	Deinococcus-Thermus
Hazenella	Firmicutes
Sphingomonas	Proteobacteria
Ramlibacter	Proteobacteria
Pseudoxanthomonas	Proteobacteria
Flavisolibacter	Bacteroidetes
Massilia	Proteobacteria
Phenylobacterium	Proteobacteria
Thermomonas	Proteobacteria
unidentified_Acidobacteria	Acidobacteria
Brevundimonas	Proteobacteria
Micromonospora	Actinobacteria
Altererythrobacter	Proteobacteria
Actinomadura	Actinobacteria
Pseudomonas	Proteobacteria
Steroidobacter	Proteobacteria
Saccharomonospora	Actinobacteria
unidentified_Gammaproteobacteria	Proteobacteria
Brevibacillus	Firmicutes
Pseudaminobacter	Proteobacteria
Devosia	Proteobacteria
