OTU_num	T.T4CK.1	T.T4CK.2	T.T4CK.3	T.T4CK.4	T.T4B.1	T.T4B.2	T.T4B.3	T.T4B.4
OTU_1	455	423	360	441	463	491	420	597
OTU_2	1378	911	1640	984	873	1165	1767	1698
OTU_3	494	531	379	370	370	356	407	366
OTU_4	235	231	253	199	1552	666	1009	623
OTU_5	311	705	635	460	33	66	37	27
OTU_6	176	256	384	147	247	306	362	217
OTU_7	240	430	482	407	133	146	139	214
OTU_8	41	37	46	25	30	50	40	41
OTU_9	465	685	581	431	281	348	563	717
OTU_10	878	755	755	782	628	716	943	1003
OTU_11	160	146	167	153	338	288	400	295
OTU_12	164	123	116	84	155	116	99	119
OTU_13	60	83	52	71	32	70	57	29
OTU_14	183	312	118	137	467	753	580	540
OTU_15	126	137	106	116	426	441	515	380
OTU_16	354	432	389	692	273	410	371	410
OTU_17	53	82	93	233	96	48	148	109
OTU_18	352	362	366	315	581	448	551	495
OTU_19	84	244	116	281	109	185	91	267
OTU_20	254	508	504	836	653	562	627	1061
OTU_21	160	112	174	111	306	330	248	189
OTU_22	137	82	105	82	467	267	320	87
OTU_23	217	206	313	187	109	130	125	124
OTU_24	773	747	866	867	1082	838	877	883
OTU_25	126	132	128	98	281	183	439	182
OTU_26	544	566	617	911	509	533	629	586
OTU_27	327	403	427	247	567	821	621	644
OTU_28	304	222	229	387	94	150	146	306
OTU_29	258	315	204	206	309	465	286	245
OTU_30	196	181	170	142	469	263	277	233
OTU_31	210	254	229	265	329	144	196	247
OTU_32	214	176	116	126	16	32	8	20
OTU_33	245	158	197	135	213	314	371	254
OTU_34	40	41	22	41	43	44	30	30
OTU_35	186	176	148	151	258	218	313	309
OTU_36	420	357	337	469	343	206	271	364
OTU_37	114	212	106	169	100	103	194	57
OTU_38	57	47	91	40	27	43	40	24
OTU_39	29	28	27	19	49	59	72	100
OTU_40	24	36	32	45	21	40	55	61
OTU_41	272	203	409	178	412	233	375	311
OTU_42	74	121	77	81	91	283	80	142
OTU_43	27	30	31	25	100	138	132	121
OTU_44	41	52	35	32	29	18	29	28
OTU_45	76	96	96	121	41	66	61	57
OTU_46	95	96	105	94	51	83	55	64
OTU_47	144	155	144	268	204	199	272	329
OTU_48	44	62	94	68	15	26	15	17
OTU_49	72	114	32	85	143	196	222	279
OTU_50	169	160	160	279	86	114	140	167
OTU_51	78	287	92	155	74	75	37	43
OTU_52	164	24	31	23	42	93	121	64
OTU_53	130	102	129	85	297	230	423	290
OTU_54	126	126	96	103	107	107	142	123
OTU_55	3	3	1	3	0	0	2	1
OTU_56	48	35	70	26	33	48	30	84
OTU_57	14	18	19	10	16	49	30	26
OTU_58	141	130	114	84	150	160	192	182
OTU_59	66	82	66	80	135	155	153	159
OTU_60	165	187	155	237	75	134	102	137
OTU_61	157	194	170	160	75	45	193	228
OTU_62	249	268	286	221	307	210	203	156
OTU_63	306	297	230	263	162	187	107	269
OTU_64	37	24	52	35	7	13	5	4
OTU_65	84	87	16	32	40	235	57	92
OTU_66	167	199	149	221	206	293	346	222
OTU_67	143	96	107	59	139	71	73	64
OTU_68	139	159	161	141	66	68	73	74
OTU_69	171	219	192	178	219	368	210	239
OTU_70	13	24	3	7	13	26	12	18
OTU_71	215	190	123	299	95	204	212	292
OTU_72	0	0	0	0	0	3	1	1
OTU_73	44	46	55	46	30	45	35	35
OTU_74	114	105	109	101	146	125	219	155
OTU_75	54	86	57	52	305	286	290	133
OTU_76	18	44	37	88	35	40	25	54
OTU_77	43	7	13	40	11	20	11	23
OTU_78	43	99	32	93	51	93	59	98
OTU_79	44	59	24	36	142	137	226	130
OTU_80	65	61	68	66	31	25	28	27
OTU_81	15	8	11	1	5	5	4	4
OTU_82	77	33	33	15	4	1	2	4
OTU_83	155	216	208	237	110	78	88	87
OTU_84	66	84	77	75	37	29	40	30
OTU_85	44	50	52	41	58	40	50	107
OTU_86	18	18	25	18	22	16	20	10
OTU_87	37	38	63	54	12	24	18	16
OTU_88	71	33	77	54	69	89	50	35
OTU_89	25	22	27	17	15	22	21	16
OTU_90	5	6	5	1	5	8	5	13
OTU_91	29	91	8	33	32	82	41	71
OTU_92	118	77	146	103	35	33	59	52
OTU_93	70	85	132	180	71	59	89	78
OTU_94	217	222	245	219	77	75	71	100
OTU_95	46	65	81	70	7	17	18	13
OTU_96	11	18	10	14	56	40	76	84
OTU_97	40	54	54	26	30	29	19	22
OTU_98	52	48	71	54	30	37	42	25
OTU_99	88	85	102	119	24	35	29	16
OTU_100	68	27	64	64	33	35	37	22
OTU_101	109	111	93	55	176	112	247	130
OTU_102	82	54	78	41	16	29	28	8
OTU_103	99	84	103	132	142	210	192	174
OTU_104	43	43	44	30	77	45	66	52
OTU_105	31	78	57	18	21	32	8	23
OTU_106	64	64	93	62	109	83	61	176
OTU_107	29	75	44	33	59	56	55	32
OTU_108	203	177	210	221	291	206	199	173
OTU_109	17	16	10	13	37	48	68	55
OTU_110	21	24	27	12	8	5	4	7
