#OTU_num	T.T3CK.1	T.T3CK.2	T.T3CK.3	T.T3CK.4	T.T3B.1	T.T3B.2	T.T3B.3	T.T3B.4
OTU_1	381	362	406	404	827	618	680	570
OTU_2	1429	994	806	1105	631	2195	2085	2418
OTU_3	529	384	387	396	989	618	673	502
OTU_4	343	293	481	351	1771	1740	1131	1364
OTU_5	1576	1259	1071	1598	466	659	558	695
OTU_6	162	139	135	300	472	487	451	522
OTU_7	1793	1020	788	829	826	648	605	842
OTU_8	103	75	48	54	75	96	68	94
OTU_9	626	734	630	701	647	454	832	545
OTU_10	757	1083	877	1217	1338	911	1325	1227
OTU_11	247	190	171	190	685	428	368	414
OTU_12	164	125	148	119	114	137	164	129
OTU_13	70	38	40	64	105	27	121	44
OTU_14	137	201	167	139	132	245	238	164
OTU_15	145	160	98	151	345	437	566	425
OTU_16	159	173	196	313	393	484	425	587
OTU_17	139	84	206	193	370	150	121	181
OTU_18	101	299	240	360	239	214	488	562
OTU_19	22	77	35	13	11	19	8	16
OTU_20	7	10	11	3	1	2	2	0
OTU_21	180	146	148	212	437	678	433	853
OTU_22	281	66	107	66	533	727	334	437
OTU_23	234	149	180	174	84	89	121	73
OTU_24	426	644	577	607	690	463	448	407
OTU_25	144	157	157	152	279	250	371	323
OTU_26	1023	895	770	639	1070	799	783	789
OTU_27	423	380	421	502	838	1543	1805	1345
OTU_28	95	77	50	52	23	30	38	38
OTU_29	180	261	196	221	183	403	279	199
OTU_30	187	165	173	183	577	302	236	387
OTU_31	405	407	322	299	263	157	245	283
OTU_32	87	108	148	91	60	95	73	49
OTU_33	105	203	323	192	393	267	229	134
OTU_34	24	18	34	19	11	12	18	21
OTU_35	167	132	116	171	153	153	171	178
OTU_36	335	476	492	447	475	199	259	531
OTU_37	191	251	246	77	139	98	109	95
OTU_38	102	66	78	57	57	41	36	46
OTU_39	27	61	36	54	41	48	73	59
OTU_40	32	32	27	7	25	20	24	57
OTU_41	239	306	405	375	463	261	394	276
OTU_42	126	121	137	121	230	165	176	183
OTU_43	32	35	30	35	84	75	126	116
OTU_44	30	49	158	22	66	29	33	35
OTU_45	206	193	238	201	64	39	77	66
OTU_46	61	66	63	65	105	91	79	66
OTU_47	88	132	123	132	109	146	153	294
OTU_48	421	221	194	173	135	96	105	91
OTU_49	59	43	23	24	43	63	59	59
OTU_50	583	281	331	197	247	183	197	199
OTU_51	137	355	112	352	55	71	57	54
OTU_52	38	29	16	32	89	40	230	75
OTU_53	153	110	103	109	336	281	496	295
OTU_54	112	95	88	77	141	100	171	173
OTU_55	2	1	3	151	0	0	3	1
OTU_56	73	61	77	34	94	132	64	165
OTU_57	16	11	20	19	19	24	35	38
OTU_58	128	144	118	96	225	151	169	185
OTU_59	44	52	57	80	124	144	139	201
OTU_60	129	222	180	205	165	236	144	231
OTU_61	15	11	19	11	8	1	7	2
OTU_62	237	259	265	216	148	114	130	144
OTU_63	35	27	27	19	21	15	11	29
OTU_64	869	60	307	128	105	71	75	96
OTU_65	131	107	163	7	11	15	13	16
OTU_66	144	180	129	137	298	345	300	288
OTU_67	85	47	107	82	60	24	57	55
OTU_68	151	204	208	159	95	75	82	89
OTU_69	219	219	185	303	386	377	290	340
OTU_70	36	27	25	1	1	12	1	1
OTU_71	81	63	71	51	61	95	82	126
OTU_72	0	0	0	0	0	0	1	3
OTU_73	100	76	102	105	47	41	41	54
OTU_74	121	89	128	125	117	126	204	131
OTU_75	56	30	55	101	144	203	151	61
OTU_76	24	30	10	24	13	10	23	16
OTU_77	1	0	1	3	1	0	0	2
OTU_78	7	16	11	7	11	6	1	13
OTU_79	16	17	26	21	51	66	26	61
OTU_80	126	118	102	145	61	37	38	43
OTU_81	22	8	3	12	7	11	10	13
OTU_82	107	13	30	24	21	18	13	16
OTU_83	72	201	128	206	61	54	47	36
OTU_84	118	126	137	139	59	33	33	44
OTU_85	41	50	41	44	143	54	58	64
OTU_86	57	54	56	46	10	17	21	15
OTU_87	94	61	100	64	34	13	25	19
OTU_88	57	75	59	82	98	216	314	291
OTU_89	43	37	36	57	19	15	15	19
OTU_90	12	10	4	10	7	19	12	17
OTU_91	2	3	9	2	7	0	0	0
OTU_92	91	85	155	114	75	33	54	59
OTU_93	178	201	259	190	190	157	117	148
OTU_94	325	309	341	345	94	89	96	98
OTU_95	271	119	183	171	78	91	71	77
OTU_96	21	16	22	24	34	53	37	36
OTU_97	98	66	78	75	30	19	27	27
OTU_98	116	84	103	82	33	26	24	35
OTU_99	104	135	174	164	43	29	39	46
OTU_100	52	61	39	54	40	163	95	125
OTU_101	90	139	37	75	171	121	135	75
OTU_102	67	66	66	62	30	26	18	18
OTU_103	59	78	59	98	98	181	83	207
OTU_104	56	57	54	70	78	162	131	171
OTU_105	94	45	28	102	25	21	19	15
OTU_106	48	73	63	123	167	98	134	261
OTU_107	12	22	21	56	33	38	35	77
OTU_108	183	242	219	160	274	218	190	198
OTU_109	21	26	21	41	37	43	75	44
OTU_110	27	11	8	8	11	24	10	35
OTU_111	63	68	61	107	186	96	128	174
OTU_112	121	113	96	122	45	81	48	30
OTU_113	3	0	1	4	4	7	7	5
OTU_114	0	0	0	0	0	0	0	0
OTU_115	289	313	415	339	128	102	135	105
OTU_116	41	48	66	56	77	77	64	76
OTU_117	100	80	87	87	47	29	36	35
OTU_118	91	50	71	48	44	37	38	29
OTU_119	52	37	46	24	24	15	16	16
OTU_120	16	7	13	8	9	7	63	4
OTU_121	0	0	0	0	0	0	0	0
OTU_122	85	50	79	35	33	16	20	33
OTU_123	24	16	22	12	19	10	15	12
OTU_124	29	42	39	35	41	27	22	33
OTU_125	10	4	7	1	2	1	3	0
OTU_126	40	77	91	90	24	28	21	18
OTU_127	10	19	13	14	5	5	3	3
OTU_128	50	8	16	12	33	59	41	46
OTU_129	43	46	65	26	19	11	18	24
OTU_130	29	18	10	22	64	10	18	26
OTU_131	66	61	84	68	73	61	59	55
OTU_132	38	44	43	59	61	73	68	68
OTU_133	75	135	110	109	98	199	126	114
OTU_134	4	10	2	4	7	5	24	4
OTU_135	30	33	22	25	43	51	160	82
OTU_136	66	50	70	93	135	109	149	134
OTU_137	57	73	77	71	49	41	33	26
OTU_138	112	189	173	199	93	73	100	72
OTU_139	34	41	44	65	73	128	93	160
OTU_140	32	32	33	41	21	15	5	16
OTU_141	21	23	16	15	41	80	47	57
OTU_142	48	40	43	47	35	20	24	14
OTU_143	91	77	79	97	21	24	24	30
OTU_144	95	123	77	84	95	213	112	231
OTU_145	11	17	8	18	21	16	19	38
OTU_146	13	7	10	159	12	44	13	21
OTU_147	57	84	82	64	59	73	28	45
OTU_148	35	22	27	45	135	116	100	93
OTU_149	54	21	38	15	52	32	24	10
OTU_150	38	46	33	35	67	91	133	146
OTU_151	27	59	73	70	46	29	47	53
OTU_152	32	30	34	21	13	11	7	8
OTU_153	21	16	27	10	29	8	21	17
OTU_154	38	43	30	38	30	31	54	47
OTU_155	38	37	41	52	86	32	58	75
OTU_156	47	48	77	46	26	27	34	19
OTU_157	47	322	128	325	40	30	25	46
OTU_158	25	115	66	86	18	21	24	21
OTU_159	33	16	41	11	22	11	5	10
OTU_160	4	7	1	8	5	13	11	10
OTU_161	29	35	28	50	48	63	103	85
OTU_162	41	26	44	37	13	10	11	19
